GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pokemon,com.soap.pokemon.endpoint,SwaggerController,30,6,0,0,6,3,6,1,6,1
pokemon,com.soap.pokemon.endpoint,PokemonEndpoint,0,96,0,0,0,27,0,7,0,7
pokemon,com.example.pokemon,GetAbilitiesRequest,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetHeldItemsResponse,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetIdRequest,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetNameResponse,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetAbilitiesResponse,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetNameRequest,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetLocationAreaEncountersRequest,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetIdResponse,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetBaseExperienceResponse,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetHeldItemsRequest,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetBaseExperienceRequest,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,GetLocationAreaEncountersResponse,0,10,0,0,0,4,0,3,0,3
pokemon,com.example.pokemon,ObjectFactory,0,51,0,0,0,14,0,13,0,13
pokemon,com.soap.pokemon.config,SwaggerConfig,0,17,0,0,0,6,0,2,0,2
pokemon,com.soap.pokemon.config,WebServiceConfiguration,0,51,0,0,0,12,0,4,0,4
pokemon,com.soap.pokemon.config,AppConfig,0,7,0,0,0,2,0,2,0,2
pokemon,com.soap.pokemon.service.impl,PokemonServiceImpl,0,230,1,1,0,53,1,8,0,8
pokemon,com.soap.pokemon.util,JsonParser,0,197,0,4,0,42,0,10,0,8
pokemon,com.soap.pokemon.model,LogEndpoint,0,52,0,0,0,15,0,15,0,15
pokemon,com.soap.pokemon,PokemonApplication,0,8,0,0,0,3,0,2,0,2
